ego,n_nodes,n_labelled,n_circles,lou_k,lei_k,lou_Q,lei_Q,lou_nmi,lou_ari,lei_nmi,lei_ari
14129601,180,47,5,9,10,0.4676449701695927,0.46834846876481,0.3378159737243032,0.23910981081031446,0.3936328593672067,0.3426777359989083
141341662,182,27,4,8,8,0.35559725624413363,0.35750097296307315,0.20200934047202182,0.056089127929312296,0.1882303021249987,0.01197267677525892
14134942,240,17,2,3,3,0.38820217930960443,0.38847802166288475,1.0,1.0,1.0,1.0
14150874,47,25,2,4,4,0.34696119524067076,0.3541610329908058,0.603630276004813,0.5602165087956701,0.5900067712969627,0.5183175033921306
14191254,134,24,2,4,4,0.20224061885156028,0.2070995271203141,0.2280688391422767,0.200967458223395,0.05711590289835462,0.11200482606072745
14199378,133,92,4,3,3,0.18425974489215227,0.18399452088762477,0.2882851910265058,0.28580307913806396,0.28762999010839424,0.27885897862235626
14203895,215,69,2,6,6,0.314771110735225,0.3151028673752254,0.3145096245490057,0.17765558483681346,0.3145096245490057,0.17765558483681346
14256927,226,10,2,9,9,0.5262789716467235,0.5306790596903103,1.0,1.0,1.0,1.0
14313005,136,42,2,4,4,0.15740003723743376,0.15985612809677222,0.15419454782468758,0.18292139835226073,0.14799928687525046,0.11923564793976926
143172151,142,15,2,5,6,0.4205014432444593,0.4240291623081236,0.08040258906011377,0.18499353169469515,0.26042196855277994,0.21323057161207357
14332288,134,46,2,5,5,0.2612089999269486,0.2658148878661699,0.6934625736365679,0.6923481680467477,0.6106759433594435,0.6666740279027656
14338082,215,117,16,7,7,0.3333670310100317,0.3339501029310851,0.6416914639246681,0.3570303066942274,0.6533603614607285,0.3710798124910177
14365883,164,18,2,7,5,0.5557357950360359,0.5635907378023476,0.2696883421601086,0.05974735404574948,0.2696883421601086,0.05974735404574948
143661263,153,43,2,4,4,0.17440887726116933,0.1808353171339505,0.06603811391299819,0.02048472640878788,0.060039427900687926,0.041209018085721257
14371740,184,21,3,4,5,0.2503662711100924,0.24551857174842848,0.5729247297699703,0.5490196078431373,0.5801839490145517,0.5436893203883494
14372486,62,38,3,4,3,0.0797595065640561,0.08105024898143952,0.2333672116492743,0.18117430874075868,0.16152078341689385,0.1734996226714863
14372763,156,47,2,5,5,0.36175515346577053,0.3574615377680411,0.32907315759822936,0.15028660155049933,0.32748598580103727,0.14676344367936658
144211337,105,26,2,4,4,0.2357561004848419,0.23575610048484197,0.1926248809068265,0.08415841584158441,0.1926248809068265,0.08415841584158441
14422788,217,27,3,8,8,0.47422482827317847,0.4747426434966486,0.9518899643934988,0.9615511008872819,0.9518899643934988,0.9615511008872819
14426892,225,166,3,5,6,0.2271014908715475,0.23511557079763926,0.06187961802261578,0.005757084231988633,0.11056759893975962,0.045100898764552554
144723379,209,156,17,6,6,0.2820099989796959,0.2979125854504642,0.3859671774226182,0.18913886582523404,0.4137213864311422,0.20865673732430068
14505838,26,23,1,4,3,0.05483392336526452,0.059714702207413595,0.0,1.4940767299476843e-16,0.0,0.0
14528221,114,49,5,4,4,0.28975561714152215,0.2919949532931602,0.3526333625886492,0.26117434704468184,0.3026414745777505,0.22291729778854916
145573135,72,33,2,3,3,0.10511407610255831,0.10810107731154209,0.09732081905216144,0.05176146427868519,0.09052358719744098,0.05176278785408595
14618160,75,11,3,4,5,0.32845296140493285,0.32889172868825034,0.8202432449902114,0.7836349331235253,0.8202432449902114,0.7836349331235253
14677919,233,48,2,4,4,0.22679642740088027,0.2258887126987808,0.16047211048828078,0.18731523783929172,0.16047211048828078,0.18731523783929172
14719129,93,19,3,10,10,0.42198971523130246,0.42611095401179283,0.5754819353045958,0.4199115044247786,0.5754819353045958,0.4199115044247786
14755105,149,27,2,5,5,0.29876646493414033,0.3069659032474981,0.18613633190119536,0.13890919725106027,0.28620025166408686,0.15589353612167273
14791232,142,40,2,4,5,0.10429010246608368,0.11212664666123018,0.06417400269036007,-0.022621679643692452,0.11579580538649795,0.040196882690729865
14794851,223,18,2,7,8,0.4148629630226847,0.4147825261963431,0.8944734093190678,0.9346656418139895,0.8944734093190678,0.9346656418139895
14836915,196,103,5,4,4,0.16370606726187942,0.16353946996513502,0.36539776339893215,0.29154973899572045,0.3977464084823706,0.3607883621975541
14838506,119,35,3,7,7,0.33804373703363605,0.3455727306737408,0.6444276238588488,0.5517503542177836,0.6623451464406115,0.5328080159540836
